sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3049,SO2,2018-05-16T07:06:50Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/16/S5P_RPRO_L2__SO2____20180516T070650_20180516T084820_03049_03_020401_20230116T100058/S5P_RPRO_L2__SO2____20180516T070650_20180516T084820_03049_03_020401_20230116T100058.nc,1.0
3063,HCHO,2018-05-17T06:47:50Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/17/S5P_RPRO_L2__HCHO___20180517T064750_20180517T082921_03063_03_020401_20230116T110745/S5P_RPRO_L2__HCHO___20180517T064750_20180517T082921_03063_03_020401_20230116T110745.nc,1.0
3063,NO2,2018-05-17T06:47:50Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/17/S5P_RPRO_L2__NO2____20180517T064750_20180517T082921_03063_03_020400_20221129T140238/S5P_RPRO_L2__NO2____20180517T064750_20180517T082921_03063_03_020400_20221129T140238.nc,1.0
3063,SO2,2018-05-17T06:47:50Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/17/S5P_RPRO_L2__SO2____20180517T064750_20180517T082921_03063_03_020401_20230116T121350/S5P_RPRO_L2__SO2____20180517T064750_20180517T082921_03063_03_020401_20230116T121350.nc,1.0
3077,HCHO,2018-05-18T06:28:51Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/18/S5P_RPRO_L2__HCHO___20180518T062851_20180518T081021_03077_03_020401_20230116T125657/S5P_RPRO_L2__HCHO___20180518T062851_20180518T081021_03077_03_020401_20230116T125657.nc,1.0
3077,NO2,2018-05-18T06:28:51Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/18/S5P_RPRO_L2__NO2____20180518T062851_20180518T081021_03077_03_020400_20221129T140259/S5P_RPRO_L2__NO2____20180518T062851_20180518T081021_03077_03_020400_20221129T140259.nc,1.0
3077,SO2,2018-05-18T06:28:51Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/18/S5P_RPRO_L2__SO2____20180518T062851_20180518T081021_03077_03_020401_20230116T142131/S5P_RPRO_L2__SO2____20180518T062851_20180518T081021_03077_03_020401_20230116T142131.nc,1.0
3091,HCHO,2018-05-19T06:09:52Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/19/S5P_RPRO_L2__HCHO___20180519T060952_20180519T075122_03091_03_020401_20230116T144248/S5P_RPRO_L2__HCHO___20180519T060952_20180519T075122_03091_03_020401_20230116T144248.nc,1.0
3091,NO2,2018-05-19T06:09:52Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/19/S5P_RPRO_L2__NO2____20180519T060952_20180519T075122_03091_03_020400_20221129T141126/S5P_RPRO_L2__NO2____20180519T060952_20180519T075122_03091_03_020400_20221129T141126.nc,1.0
3091,SO2,2018-05-19T06:09:52Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/19/S5P_RPRO_L2__SO2____20180519T060952_20180519T075122_03091_03_020401_20230116T162514/S5P_RPRO_L2__SO2____20180519T060952_20180519T075122_03091_03_020401_20230116T162514.nc,1.0
3120,HCHO,2018-05-21T07:13:23Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/21/S5P_RPRO_L2__HCHO___20180521T071323_20180521T085453_03120_03_020401_20230116T180413/S5P_RPRO_L2__HCHO___20180521T071323_20180521T085453_03120_03_020401_20230116T180413.nc,1.0
3120,NO2,2018-05-21T07:13:23Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/21/S5P_RPRO_L2__NO2____20180521T071323_20180521T085453_03120_03_020400_20221129T143608/S5P_RPRO_L2__NO2____20180521T071323_20180521T085453_03120_03_020400_20221129T143608.nc,1.0
