sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3023,SO2,2018-05-14T11:07:48Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/14/S5P_RPRO_L2__SO2____20180514T110748_20180514T124918_03023_03_020401_20230116T051959/S5P_RPRO_L2__SO2____20180514T110748_20180514T124918_03023_03_020401_20230116T051959.nc,1.0
3051,HCHO,2018-05-16T10:29:50Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/16/S5P_RPRO_L2__HCHO___20180516T102950_20180516T121120_03051_03_020401_20230116T091525/S5P_RPRO_L2__HCHO___20180516T102950_20180516T121120_03051_03_020401_20230116T091525.nc,1.0
3051,NO2,2018-05-16T10:29:50Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/16/S5P_RPRO_L2__NO2____20180516T102950_20180516T121120_03051_03_020400_20221129T134634/S5P_RPRO_L2__NO2____20180516T102950_20180516T121120_03051_03_020400_20221129T134634.nc,1.0
3051,SO2,2018-05-16T10:29:50Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/16/S5P_RPRO_L2__SO2____20180516T102950_20180516T121120_03051_03_020401_20230116T100059/S5P_RPRO_L2__SO2____20180516T102950_20180516T121120_03051_03_020401_20230116T100059.nc,1.0
3066,HCHO,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/17/S5P_RPRO_L2__HCHO___20180517T115221_20180517T133351_03066_03_020401_20230116T110747/S5P_RPRO_L2__HCHO___20180517T115221_20180517T133351_03066_03_020401_20230116T110747.nc,1.0
3066,NO2,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/17/S5P_RPRO_L2__NO2____20180517T115221_20180517T133351_03066_03_020400_20221129T140242/S5P_RPRO_L2__NO2____20180517T115221_20180517T133351_03066_03_020400_20221129T140242.nc,1.0
3066,SO2,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/17/S5P_RPRO_L2__SO2____20180517T115221_20180517T133351_03066_03_020401_20230116T121352/S5P_RPRO_L2__SO2____20180517T115221_20180517T133351_03066_03_020401_20230116T121352.nc,1.0
3080,HCHO,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/18/S5P_RPRO_L2__HCHO___20180518T113322_20180518T131452_03080_03_020401_20230116T125659/S5P_RPRO_L2__HCHO___20180518T113322_20180518T131452_03080_03_020401_20230116T125659.nc,1.0
3080,NO2,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/18/S5P_RPRO_L2__NO2____20180518T113322_20180518T131452_03080_03_020400_20221129T140304/S5P_RPRO_L2__NO2____20180518T113322_20180518T131452_03080_03_020400_20221129T140304.nc,1.0
3080,SO2,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/18/S5P_RPRO_L2__SO2____20180518T113322_20180518T131452_03080_03_020401_20230116T142133/S5P_RPRO_L2__SO2____20180518T113322_20180518T131452_03080_03_020401_20230116T142133.nc,1.0
