sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3009,SO2,2018-05-13T11:26:46Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/13/S5P_RPRO_L2__SO2____20180513T112646_20180513T130816_03009_03_020401_20230116T031536/S5P_RPRO_L2__SO2____20180513T112646_20180513T130816_03009_03_020401_20230116T031536.nc,1.0
3010,HCHO,2018-05-13T13:08:16Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/13/S5P_RPRO_L2__HCHO___20180513T130816_20180513T144946_03010_03_020401_20230116T031539/S5P_RPRO_L2__HCHO___20180513T130816_20180513T144946_03010_03_020401_20230116T031539.nc,1.0
3010,NO2,2018-05-13T13:08:16Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/13/S5P_RPRO_L2__NO2____20180513T130816_20180513T144946_03010_03_020400_20221129T132920/S5P_RPRO_L2__NO2____20180513T130816_20180513T144946_03010_03_020400_20221129T132920.nc,1.0
3010,SO2,2018-05-13T13:08:16Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/13/S5P_RPRO_L2__SO2____20180513T130816_20180513T144946_03010_03_020401_20230116T031538/S5P_RPRO_L2__SO2____20180513T130816_20180513T144946_03010_03_020401_20230116T031538.nc,1.0
3024,HCHO,2018-05-14T12:49:18Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/14/S5P_RPRO_L2__HCHO___20180514T124918_20180514T143048_03024_03_020401_20230116T052000/S5P_RPRO_L2__HCHO___20180514T124918_20180514T143048_03024_03_020401_20230116T052000.nc,1.0
3024,NO2,2018-05-14T12:49:18Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/14/S5P_RPRO_L2__NO2____20180514T124918_20180514T143048_03024_03_020400_20221129T132942/S5P_RPRO_L2__NO2____20180514T124918_20180514T143048_03024_03_020400_20221129T132942.nc,1.0
3024,SO2,2018-05-14T12:49:18Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/14/S5P_RPRO_L2__SO2____20180514T124918_20180514T143048_03024_03_020401_20230116T052001/S5P_RPRO_L2__SO2____20180514T124918_20180514T143048_03024_03_020401_20230116T052001.nc,1.0
3038,HCHO,2018-05-15T12:30:19Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/15/S5P_RPRO_L2__HCHO___20180515T123019_20180515T141149_03038_03_020401_20230116T071837/S5P_RPRO_L2__HCHO___20180515T123019_20180515T141149_03038_03_020401_20230116T071837.nc,1.0
3038,NO2,2018-05-15T12:30:19Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/15/S5P_RPRO_L2__NO2____20180515T123019_20180515T141149_03038_03_020400_20221129T133006/S5P_RPRO_L2__NO2____20180515T123019_20180515T141149_03038_03_020400_20221129T133006.nc,1.0
3038,SO2,2018-05-15T12:30:19Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/15/S5P_RPRO_L2__SO2____20180515T123019_20180515T141149_03038_03_020401_20230116T074223/S5P_RPRO_L2__SO2____20180515T123019_20180515T141149_03038_03_020401_20230116T074223.nc,1.0
3066,HCHO,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/17/S5P_RPRO_L2__HCHO___20180517T115221_20180517T133351_03066_03_020401_20230116T110747/S5P_RPRO_L2__HCHO___20180517T115221_20180517T133351_03066_03_020401_20230116T110747.nc,1.0
3066,NO2,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/17/S5P_RPRO_L2__NO2____20180517T115221_20180517T133351_03066_03_020400_20221129T140242/S5P_RPRO_L2__NO2____20180517T115221_20180517T133351_03066_03_020400_20221129T140242.nc,1.0
3066,SO2,2018-05-17T11:52:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/17/S5P_RPRO_L2__SO2____20180517T115221_20180517T133351_03066_03_020401_20230116T121352/S5P_RPRO_L2__SO2____20180517T115221_20180517T133351_03066_03_020401_20230116T121352.nc,1.0
3080,HCHO,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/18/S5P_RPRO_L2__HCHO___20180518T113322_20180518T131452_03080_03_020401_20230116T125659/S5P_RPRO_L2__HCHO___20180518T113322_20180518T131452_03080_03_020401_20230116T125659.nc,1.0
3080,NO2,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/18/S5P_RPRO_L2__NO2____20180518T113322_20180518T131452_03080_03_020400_20221129T140304/S5P_RPRO_L2__NO2____20180518T113322_20180518T131452_03080_03_020400_20221129T140304.nc,1.0
3080,SO2,2018-05-18T11:33:22Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/18/S5P_RPRO_L2__SO2____20180518T113322_20180518T131452_03080_03_020401_20230116T142133/S5P_RPRO_L2__SO2____20180518T113322_20180518T131452_03080_03_020401_20230116T142133.nc,1.0
3081,HCHO,2018-05-18T13:14:52Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/18/S5P_RPRO_L2__HCHO___20180518T131452_20180518T145622_03081_03_020401_20230116T125700/S5P_RPRO_L2__HCHO___20180518T131452_20180518T145622_03081_03_020401_20230116T125700.nc,1.0
3081,NO2,2018-05-18T13:14:52Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/18/S5P_RPRO_L2__NO2____20180518T131452_20180518T145622_03081_03_020400_20221129T140306/S5P_RPRO_L2__NO2____20180518T131452_20180518T145622_03081_03_020400_20221129T140306.nc,1.0
3081,SO2,2018-05-18T13:14:52Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/18/S5P_RPRO_L2__SO2____20180518T131452_20180518T145622_03081_03_020401_20230116T142134/S5P_RPRO_L2__SO2____20180518T131452_20180518T145622_03081_03_020401_20230116T142134.nc,1.0
3123,HCHO,2018-05-21T12:17:53Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/21/S5P_RPRO_L2__HCHO___20180521T121753_20180521T135923_03123_03_020401_20230116T180415/S5P_RPRO_L2__HCHO___20180521T121753_20180521T135923_03123_03_020401_20230116T180415.nc,1.0
3123,NO2,2018-05-21T12:17:53Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/21/S5P_RPRO_L2__NO2____20180521T121753_20180521T135923_03123_03_020400_20221129T143613/S5P_RPRO_L2__NO2____20180521T121753_20180521T135923_03123_03_020400_20221129T143613.nc,1.0
3123,SO2,2018-05-21T12:17:53Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/21/S5P_RPRO_L2__SO2____20180521T121753_20180521T135923_03123_03_020401_20230116T201725/S5P_RPRO_L2__SO2____20180521T121753_20180521T135923_03123_03_020401_20230116T201725.nc,1.0
